identif;direccion;distrito
28079001; P§. Recoletos Baja.- 04/05/2009 (14:00 h.);1
28079002; Glta. de Carlos V Baja.- 04/12/2006 (11:00 h.);1
28079003;Pza. del Carmen;1
28079035;Pza. del Carmen;1
28079004;Pza. de Espa¤a;1
28079005;Barrio del Pilar;8
28079039;(*) Barrio del Pilar;8
28079006; Pza. Dr. Mara¤on Baja.- 27/11/2009 (08:00 h.);6
28079007; Pza. M. de Salamanca Baja.- 30/12/2009 (14:00 h.);5
28079008; Escuelas Aguirre;3
28079009; Pza. Luca de Tena Baja.- 07/12/2009 (08:00 h.);2
28079010;Cuatro Caminos;6
28079038;(*) Cuatro Caminos;6
28079011; Av. Ram¢n y Cajal;5
28079012; Pza. Manuel Becerra Baja.- 30/12/2009 (14:00 h.);4
28079013;Vallecas;13
28079040;(*) Vallecas;13
28079014; Pza. Fdez. Ladreda Baja.- 02/12/2009 (09:00 h.);12
28079015; Pza. Castilla Baja.- 17/10/2008 (11:00 h.);6
28079016; Arturo Soria;15
28079017; Villaverde Alto;17
28079018; C/ Farolillo;11
28079019; Huerta Casta¤eda Baja.- 30/12/2009 (13:00 h.);9
28079020;Moratalaz;14
28079036;(*) Moratalaz;14
28079021; Pza. Cristo Rey Baja.- 04/12/2009 (14:00 h.);7
28079022; P§. Pontones Baja.- 20/11/2009 (10:00 h.);1
28079023; Final C/ Alcalÿ Baja.- 30/12/2009 (14:00 h.);20
28079024; Casa de Campo;9
28079025; Santa Eugenia Baja.- 16/11/2009 (10:00 h.);19
28079026; Urb. Embajada (Barajas) Baja.- 11/01/2010 (09:00 h.);21
28079027; Barajas;21
28079047; M‚ndez µlvaro Alta.- 21/12/2009 (00:00 h.);2
28079048; P§. Castellana Alta.- 01/06/2010 (00:00 h.);5
28079049; Retiro Alta.- 01/01/2010 (00:00 h.);3
28079050; Pza. Castilla Alta.- 08/02/2010 (00:00 h.);5
28079054; Ensanche Vallecas Alta.- 11/12/2009 (00:00 h.);18
28079055; Urb. Embajada (Barajas) Alta.- 20/01/2010 (15:00 h.);21
28079056; Pza. Fdez. Ladreda Alta.- 18/01/2010 (12:00 h.);12
28079057; Sanchinarro Alta.- 24/11/2009 (00:00 h.);8
28079058; El Pardo Alta.- 30/11/2009 (13:00 h.);8
28079059; Parque Juan Carlos I Alta.- 14/12/2009 (00:00 h.);16
28079086;Tres Olivos Alta.- 14/01/2010 (13:00 h.);8
28079060;(*) Tres Olivos Alta.- 14/01/2010 (13:00 h.);8
