zona;distrito;identificador
MADRID, CIUDAD UNIVERSITARIA;1;3194U
MADRID, RETIRO;2;3195
MADRID AEROPUERTO;3;3129
MADRID, RETIRO;4;3195
MADRID AEROPUERTO;5;3129
MADRID, CUATRO VIENTOS;6;3196
MADRID, CIUDAD UNIVERSITARIA;7;3194U
MADRID, RETIRO;8;3195
MADRID, RETIRO;9;3195
MADRID, CIUDAD UNIVERSITARIA;10;3194U
MADRID AEROPUERTO;11;3129
MADRID, CIUDAD UNIVERSITARIA;12;3194U
MADRID, RETIRO;13;3195
MADRID, RETIRO;14;3195
MADRID, RETIRO;15;3195
MADRID, RETIRO;16;3195
MADRID, CIUDAD UNIVERSITARIA;17;3194U
MADRID, CUATRO VIENTOS;18;3196
MADRID, RETIRO;19;3195
MADRID, RETIRO;20;3195
MADRID, CUATRO VIENTOS;21;3196
